id	manuscript_item	figure_or_table	scripts	artifacts	status	absent_artifacts	note
S1	Row-associated bilinear operator; exact q1, PR_spec, Frobenius norm	Fig 1B,C	experiments/frozen/E7_exact_dimensionality/run_legacy_reanalysis.py;experiments/frozen/E7_exact_dimensionality/run_phase1_detection.py;experiments/frozen/E7_exact_dimensionality/spectral_lib.py	results/e7_legacy_reanalysis.json;experiments/figures/source_data/fig1_structural.json	OK		Exact spectrum, no diagonal approximation.
S2	Retrospective diagonal-proxy calibration on published NLP super weights	Fig 1A	experiments/frozen/E1_nlp_validation	experiments/figures/source_data/fig1_structural_panel_a.csv	OK		Calibration only; numerically distinct from the exact metric in Fig 1B,C.
S3	23-model structural panel (scale ladder)	Fig 1B	experiments/frozen/E11_scale_ladder/run_model.py;experiments/frozen/E11_scale_ladder/build_csv.py	results/E11/scale_ladder_backfilled.csv	OK		Structural metrics only; no causal endpoint.
C1	22-model singleton causal census, candidate + 5 random same-layer controls, eps 0.5/1.0	Fig 2A,B	experiments/frozen/E13_full_cohort_causal_census/run_singleton_census.py;experiments/frozen/E13_full_cohort_causal_census/build_candidate_manifest.py;experiments/frozen/E13_full_cohort_causal_census/compile_census.py	results/E13/part2_22_model_results.csv;audit/census_master.csv	OK		Controls drawn from SeedSequence(42).spawn(23)[panel_index].
C2	Top-norm control set: 5 highest-Frobenius same-layer rows, no forward pass	Fig 2D	experiments/frozen/E13_full_cohort_causal_census/run_priority1_robustness.py	experiments/figures/source_data/fig2_panel_d_source.csv	OK		Weight-space selection; the stricter control.
C3	q1 vs signed full-ablation effect across the panel	Fig 2C	experiments/frozen/E13_full_cohort_causal_census/build_cohort_summary.py	experiments/figures/source_data/fig2_causal.json	OK		The structure-function dissociation; rho = 0.074.
D1	Activation-ratio detector, per-row over all layers (candidate provenance)	Methods	experiments/frozen/E13_full_cohort_causal_census/run_rowwise_detector.py	audit/detector_provenance.csv	OK		Raw per-row tables were written to results/E13_multicandidate_structural on the cluster.
D2	Legacy vs ratio rule resolved for all 6 legacy models, with paired causal evaluation	Methods	scripts/paper_closing/run_uniform_detector_text.py;scripts/paper_closing/run_uniform_detector.py;scripts/paper_closing/run_detector_published_protocol.py	results/paper_closing/uniform_detector_text_llama.json;results/paper_closing/uniform_detector_text_mistral.json;results/paper_closing/uniform_detector_text_olmo.json;results/paper_closing/uniform_detector_dnabert2.json;results/paper_closing/uniform_detector_ntv3.json;results/paper_closing/detector_published_protocol.json;audit/detector_provenance_exp2_resolution.csv;results/paper_closing/EXP2_LEGACY_DETECTOR_RESOLUTION.md	OK		Four reproduction gates per text model. OLMo disagrees; frozen coord 47x more damaging.
D3	Candidate input stability over 24 domain-matched inputs	Methods	experiments/frozen/E13_full_cohort_causal_census/run_candidate_input_stability.py	results/E13_candidate_stability	OK		20 models with a comparable singleton candidate and executable path.
D4	OLMo coordinate-substitution sensitivity of the cohort correlations	Note S2	scripts/paper_closing/run_census_analyses.py	results/paper_closing/exp2_olmo_exposure_sensitivity.json	OK		22-model rho robust (0.766 -> 0.755); n=10 text subgroup falls to 0.673.
